Row,Time,A45,A135,A225,A315,S0,S90,S180,S270,xTilt,yTilt,zTilt,zSum
65771,2.8726,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.218,1.697,1.208
65772,2.8899,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.221,1.698,1.207
65773,2.9121,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.214,1.697,1.207
65774,2.9294,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.179,1.213,1.698,1.207
65775,2.9468,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.214,1.700,1.207
65776,2.9641,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.177,1.218,1.697,1.207
65777,2.9814,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.215,1.696,1.207
65778,2.9990,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.217,1.698,1.207
65779,3.0164,0.000,1.207,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.214,1.699,1.207
65780,3.0337,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.214,1.696,1.207
65781,3.0510,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.180,1.214,1.696,1.207
65782,3.0684,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.214,1.696,1.207
65783,3.0857,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.214,1.697,1.207
65784,3.1030,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.180,1.217,1.697,1.207
65785,3.1206,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.218,1.700,1.207
65786,3.1404,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.214,1.697,1.208
65787,3.1582,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.181,1.217,1.696,1.207
65788,3.1755,0.000,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.180,1.221,1.700,1.207
