Row,Time,A45,A135,A225,A315,S0,S90,S180,S270,xTilt,yTilt,zTilt,zSum
430313,3.3745,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.171,1.218,1.697,1.205
430314,3.3918,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.221,1.697,1.205
430315,3.4141,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.171,1.218,1.696,1.205
430316,3.4314,0.000,1.208,1.208,1.208,1.208,1.207,1.208,1.207,1.171,1.221,1.700,1.205
430317,3.4487,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.221,1.699,1.205
430318,3.4661,0.000,1.207,1.209,1.208,1.208,1.207,1.207,1.207,1.175,1.217,1.697,1.205
430319,3.4836,0.000,1.207,1.208,1.207,1.208,1.207,1.208,1.207,1.172,1.218,1.697,1.205
430320,3.5010,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.221,1.700,1.205
430321,3.5183,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.218,1.696,1.205
430322,3.5356,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.174,1.218,1.696,1.205
430323,3.5530,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.173,1.221,1.697,1.205
430324,3.5703,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.221,1.696,1.205
430325,3.5879,0.000,1.207,1.208,1.207,1.208,1.207,1.208,1.208,1.173,1.218,1.696,1.205
430326,3.6052,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.221,1.696,1.205
430327,3.6226,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.172,1.218,1.696,1.205
430328,3.6426,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.221,1.696,1.205
430329,3.6604,0.000,1.207,1.208,1.207,1.208,1.207,1.208,1.207,1.175,1.224,1.696,1.205
430330,3.6777,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.177,1.221,1.699,1.205
430331,3.6951,0.000,1.207,1.208,1.207,1.208,1.207,1.208,1.208,1.171,1.221,1.698,1.205
430332,3.7124,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.173,1.218,1.696,1.204
430333,3.7297,0.000,1.208,1.208,1.207,1.208,1.207,1.208,1.207,1.171,1.214,1.696,1.205
430334,3.7473,0.000,1.208,1.208,1.208,1.208,1.207,1.208,1.207,1.171,1.218,1.700,1.205
430335,3.7646,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.171,1.218,1.696,1.205
430336,3.7820,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.174,1.218,1.696,1.205
430337,3.7993,0.000,1.207,1.208,1.208,1.208,1.207,1.207,1.207,1.173,1.218,1.696,1.205
430338,3.8167,0.000,1.207,1.208,1.207,1.208,1.207,1.208,1.207,1.174,1.221,1.696,1.205
430339,3.8340,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.173,1.221,1.698,1.205
430340,3.8516,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.221,1.693,1.205
430341,3.8689,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.173,1.218,1.693,1.205
430342,3.8862,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.171,1.217,1.697,1.205
430343,3.9048,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.177,1.221,1.697,1.205
430344,3.9126,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.175,1.221,1.696,1.205
430345,3.9177,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.173,1.221,1.698,1.205
430346,3.9231,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.172,1.221,1.696,1.205
430347,3.9285,0.000,1.207,1.208,1.208,1.208,1.207,1.208,1.207,1.171,1.221,1.697,1.205
