KINETIC_KINEMATIC::RFT::DistEndPos
File	Frame	X 	Y 	Z 
 - 	150	0.972580	0.215107	0.146996
 - 	151	0.973585	0.212775	0.144207
 - 	152	0.975515	0.214070	0.141458
 - 	153	0.974990	0.215930	0.139476
 - 	154	0.976185	0.216471	0.138752
 - 	155	0.978364	0.215023	0.138652
 - 	156	0.979670	0.214519	0.138447
 - 	157	0.979997	0.214613	0.138302
 - 	158	0.979544	0.215252	0.138460
 - 	159	0.979892	0.215243	0.138948
 - 	160	0.980375	0.215087	0.139616
 - 	161	0.980641	0.214905	0.140357
 - 	162	0.980530	0.214951	0.141019
 - 	163	0.980299	0.215069	0.141528
 - 	164	0.980041	0.215709	0.142220
 - 	165	0.979311	0.215908	0.142871
 - 	166	0.978338	0.216269	0.143600
 - 	167	0.977433	0.216693	0.144349
 - 	168	0.976492	0.217325	0.145283
 - 	169	0.975867	0.217356	0.146204
 - 	170	0.975450	0.217610	0.147313
 - 	171	0.975301	0.217130	0.148396
 - 	172	0.975490	0.216755	0.149221
 - 	173	0.975727	0.216515	0.149821
 - 	174	0.976068	0.216362	0.150260
 - 	175	0.976303	0.216252	0.149929
 - 	176	0.975796	0.216702	0.150329
 - 	177	0.975126	0.216322	0.150804
 - 	178	0.974666	0.215413	0.151294
 - 	179	0.974799	0.213800	0.151885
 - 	180	0.975796	0.211270	0.152552
 - 	181	0.977023	0.208313	0.153124
 - 	182	0.977690	0.206340	0.153351
 - 	183	0.977945	0.205064	0.153412
 - 	184	0.978297	0.204589	0.153431
 - 	185	0.978958	0.204739	0.153471
 - 	186	0.979808	0.205403	0.153508
 - 	187	0.980862	0.206667	0.153556
 - 	188	0.982043	0.208737	0.153543
 - 	189	0.982774	0.211095	0.153533
 - 	190	0.982904	0.213684	0.153481
 - 	191	0.982509	0.216361	0.153304
 - 	192	0.981668	0.218852	0.152900
 - 	193	0.980621	0.221167	0.152238
 - 	194	0.979961	0.223588	0.151203
 - 	195	0.979526	0.225690	0.149778
 - 	196	0.978931	0.227759	0.147946
 - 	197	0.978273	0.229745	0.145486
 - 	198	0.977886	0.231187	0.142344
 - 	199	0.979248	0.230776	0.140092
 - 	200	0.980934	0.229683	0.136014
 - 	201	0.983040	0.230081	0.131316
 - 	202	0.983195	0.232486	0.127671
 - 	203	0.984495	0.234255	0.129317
 - 	204	0.986074	0.233647	0.131356
 - 	205	0.986879	0.233924	0.133210
 - 	206	0.986744	0.234746	0.134655
 - 	207	0.986635	0.235273	0.135623
 - 	208	0.987054	0.234940	0.136572
 - 	209	0.987436	0.234375	0.137737
 - 	210	0.987365	0.233884	0.138945
