KINETIC_KINEMATIC::LFT::DistEndPos
File	Frame	X 	Y 	Z 
 - 	144	7.383251	-3.685520	0.106847
 - 	145	7.379081	-3.673703	0.105613
 - 	146	7.377372	-3.655569	0.106448
 - 	147	7.378373	-3.637091	0.113472
 - 	148	7.381752	-3.633674	0.112875
 - 	149	7.385830	-3.634012	0.112191
 - 	150	7.388283	-3.635068	0.113427
 - 	151	7.388979	-3.635179	0.116066
 - 	152	7.389515	-3.635716	0.117772
 - 	153	7.388221	-3.636216	0.119198
 - 	154	7.386669	-3.636237	0.120784
 - 	155	7.384730	-3.636715	0.122339
 - 	156	7.382710	-3.636933	0.123845
 - 	157	7.380842	-3.637238	0.125267
 - 	158	7.379420	-3.637877	0.126356
 - 	159	7.378606	-3.638020	0.127322
 - 	160	7.378106	-3.638530	0.128187
 - 	161	7.378481	-3.638595	0.128840
 - 	162	7.379258	-3.638469	0.128375
 - 	163	7.379863	-3.638138	0.127563
 - 	164	7.379382	-3.638082	0.126506
 - 	165	7.376760	-3.637201	0.125649
 - 	166	7.372758	-3.635574	0.124046
 - 	167	7.368263	-3.635763	0.120039
 - 	168	7.365055	-3.641501	0.113757
 - 	169	7.368110	-3.651452	0.108451
 - 	170	7.375843	-3.662230	0.107397
 - 	171	7.384147	-3.675092	0.108053
 - 	172	7.392150	-3.688882	0.109361
 - 	173	7.397709	-3.702554	0.111926
 - 	174	7.398326	-3.716443	0.113331
 - 	175	7.392529	-3.719658	0.111954
 - 	176	7.384401	-3.711809	0.109954
 - 	177	7.377635	-3.697856	0.106588
 - 	178	7.374287	-3.675566	0.103381
 - 	179	7.371556	-3.646930	0.104110
 - 	180	7.369844	-3.627679	0.113448
 - 	181	7.373570	-3.629670	0.112895
 - 	182	7.378209	-3.630459	0.110952
 - 	183	7.380347	-3.633198	0.114169
 - 	184	7.380434	-3.632877	0.118167
 - 	185	7.381092	-3.634485	0.120675
 - 	186	7.381683	-3.634752	0.124123
 - 	187	7.381341	-3.634894	0.127352
 - 	188	7.380284	-3.637328	0.130017
 - 	189	7.380916	-3.639099	0.132732
 - 	190	7.381811	-3.641041	0.135650
 - 	191	7.383053	-3.642732	0.138512
 - 	192	7.383708	-3.644595	0.141383
 - 	193	7.384109	-3.646061	0.144217
 - 	194	7.384415	-3.648785	0.146832
 - 	195	7.385672	-3.650314	0.148929
 - 	196	7.387311	-3.651493	0.150398
 - 	197	7.388449	-3.651783	0.151263
 - 	198	7.389194	-3.651410	0.151462
 - 	199	7.390393	-3.650214	0.151128
 - 	200	7.391556	-3.649712	0.150473
 - 	201	7.391707	-3.650053	0.149739
 - 	202	7.392080	-3.649774	0.149050
 - 	203	7.391925	-3.649881	0.148081
 - 	204	7.391703	-3.649647	0.146417
 - 	205	7.390963	-3.648241	0.144167
 - 	206	7.389390	-3.648153	0.141019
 - 	207	7.385926	-3.646914	0.137004
