KINETIC_KINEMATIC::LFT::ProxEndPos
File	Frame	X 	Y 	Z 
 - 	144	7.380503	-3.886119	0.250385
 - 	145	7.375371	-3.879988	0.240828
 - 	146	7.371774	-3.868921	0.230142
 - 	147	7.368183	-3.858811	0.221114
 - 	148	7.364161	-3.856426	0.217388
 - 	149	7.362489	-3.856768	0.215563
 - 	150	7.362284	-3.858770	0.214084
 - 	151	7.362803	-3.860157	0.213790
 - 	152	7.364674	-3.861761	0.213361
 - 	153	7.365791	-3.863295	0.212912
 - 	154	7.367748	-3.864567	0.212206
 - 	155	7.370230	-3.866360	0.211240
 - 	156	7.373199	-3.867774	0.210287
 - 	157	7.376212	-3.869035	0.209523
 - 	158	7.378788	-3.870303	0.208991
 - 	159	7.380588	-3.870816	0.208885
 - 	160	7.381062	-3.871539	0.209110
 - 	161	7.381016	-3.871692	0.209524
 - 	162	7.380677	-3.871510	0.209247
 - 	163	7.380307	-3.870968	0.209050
 - 	164	7.379668	-3.870565	0.208981
 - 	165	7.378090	-3.869188	0.209501
 - 	166	7.377052	-3.866519	0.210628
 - 	167	7.377705	-3.864085	0.212938
 - 	168	7.379659	-3.864913	0.217314
 - 	169	7.383943	-3.868773	0.224086
 - 	170	7.389307	-3.874337	0.232615
 - 	171	7.394358	-3.881540	0.242684
 - 	172	7.399922	-3.888933	0.253478
 - 	173	7.405045	-3.895952	0.264876
 - 	174	7.409307	-3.902851	0.274520
 - 	175	7.411814	-3.902178	0.276771
 - 	176	7.412727	-3.897263	0.270126
 - 	177	7.409492	-3.888963	0.259276
 - 	178	7.403471	-3.875355	0.245095
 - 	179	7.395306	-3.858322	0.229010
 - 	180	7.387763	-3.850039	0.218736
 - 	181	7.381102	-3.853428	0.216463
 - 	182	7.377909	-3.854847	0.213424
 - 	183	7.375198	-3.859736	0.211660
 - 	184	7.372970	-3.861144	0.211383
 - 	185	7.373617	-3.864147	0.210396
 - 	186	7.375848	-3.866129	0.209452
 - 	187	7.377191	-3.867902	0.208224
 - 	188	7.376742	-3.871773	0.206656
 - 	189	7.376799	-3.874876	0.205139
 - 	190	7.376707	-3.878131	0.203565
 - 	191	7.377475	-3.881122	0.201677
 - 	192	7.378406	-3.884244	0.199611
 - 	193	7.379312	-3.886863	0.197530
 - 	194	7.379732	-3.890567	0.195516
 - 	195	7.380549	-3.892859	0.193603
 - 	196	7.381606	-3.894566	0.192032
 - 	197	7.382599	-3.895169	0.191008
 - 	198	7.383563	-3.894886	0.190684
 - 	199	7.384908	-3.893611	0.190861
 - 	200	7.386108	-3.892959	0.191115
 - 	201	7.386434	-3.893163	0.191216
 - 	202	7.387036	-3.892762	0.191263
 - 	203	7.387223	-3.892715	0.191205
 - 	204	7.387638	-3.892229	0.191003
 - 	205	7.387867	-3.890368	0.191235
 - 	206	7.387823	-3.889512	0.191952
 - 	207	7.387148	-3.887080	0.193298
 - 	208	7.386556	-3.884728	0.195079
 - 	209	7.387100	-3.881153	0.197112
 - 	210	7.389498	-3.876213	0.199483
 - 	211	7.393309	-3.870588	0.202141
 - 	212	7.397388	-3.864974	0.204868
 - 	213	7.402435	-3.861596	0.208239
 - 	214	7.407734	-3.860053	0.211979
 - 	215	7.412123	-3.860171	0.216010
 - 	216	7.415599	-3.861460	0.219995
 - 	217	7.418334	-3.863599	0.223422
 - 	218	7.420465	-3.865556	0.225812
 - 	219	7.422179	-3.868325	0.227530
 - 	220	7.422964	-3.870138	0.227154
 - 	221	7.423386	-3.867908	0.223341
 - 	222	7.425796	-3.867614	0.219247
 - 	223	7.424771	-3.869662	0.217455
 - 	224	7.423684	-3.872490	0.215311
 - 	225	7.423964	-3.875978	0.213880
 - 	226	7.425948	-3.877758	0.213360
 - 	227	7.427330	-3.878858	0.213782
 - 	228	7.428531	-3.879227	0.214878
 - 	229	7.429361	-3.879016	0.216572
 - 	230	7.429072	-3.878284	0.218699
 - 	231	7.427681	-3.878095	0.221040
 - 	232	7.426070	-3.877617	0.222149
 - 	233	7.425522	-3.876356	0.222774
 - 	234	7.425750	-3.874828	0.222676
 - 	235	7.425973	-3.874337	0.221918
 - 	236	7.426304	-3.874518	0.220569
 - 	237	7.426473	-3.874823	0.218900
 - 	238	7.426655	-3.875159	0.218127
 - 	239	7.427171	-3.876084	0.217386
 - 	240	7.427268	-3.877270	0.217378
 - 	241	7.426054	-3.877311	0.217279
 - 	242	7.424884	-3.875933	0.218043
 - 	243	7.422805	-3.875381	0.220014
 - 	244	7.420861	-3.876266	0.223392
 - 	245	7.419721	-3.879148	0.227926
 - 	246	7.419126	-3.883228	0.233064
 - 	247	7.418995	-3.887552	0.238411
 - 	248	7.419816	-3.890733	0.243363
 - 	249	7.421366	-3.893373	0.247712
 - 	250	7.422845	-3.895334	0.250919
 - 	251	7.425235	-3.895841	0.251463
 - 	252	7.428253	-3.893411	0.247476
 - 	253	7.428665	-3.887115	0.239464
 - 	254	7.428649	-3.880893	0.230937
 - 	255	7.430473	-3.883957	0.227905
 - 	256	7.429460	-3.884250	0.225022
 - 	257	7.430914	-3.885603	0.222404
 - 	258	7.431477	-3.888217	0.220736
 - 	259	7.432125	-3.890281	0.219536
 - 	260	7.431858	-3.892358	0.218753
 - 	261	7.431493	-3.893862	0.218139
 - 	262	7.431206	-3.894749	0.217791
 - 	263	7.431696	-3.894935	0.218364
 - 	264	7.432525	-3.894979	0.218026
 - 	265	7.433407	-3.894753	0.217766
 - 	266	7.432301	-3.894286	0.218457
 - 	267	7.430252	-3.893153	0.219720
 - 	268	7.427869	-3.891347	0.221593
 - 	269	7.426303	-3.888699	0.222795
 - 	270	7.424994	-3.886177	0.224085
 - 	271	7.423404	-3.884175	0.225459
 - 	272	7.422382	-3.882856	0.227424
 - 	273	7.421712	-3.882930	0.230194
 - 	274	7.421474	-3.884608	0.233608
 - 	275	7.421349	-3.887351	0.237594
 - 	276	7.420908	-3.890355	0.241812
 - 	277	7.420413	-3.893259	0.245685
 - 	278	7.419607	-3.895475	0.248652
 - 	279	7.419246	-3.896816	0.250748
 - 	280	7.419535	-3.897374	0.251529
 - 	281	7.420758	-3.896973	0.250282
 - 	282	7.421824	-3.894430	0.246377
 - 	283	7.422158	-3.888642	0.239273
 - 	284	7.422895	-3.885965	0.233058
 - 	285	7.422864	-3.888674	0.230757
 - 	286	7.423122	-3.886912	0.227729
 - 	287	7.423607	-3.888069	0.225433
 - 	288	7.422670	-3.889477	0.224970
 - 	289	7.422355	-3.889181	0.225147
 - 	290	7.421682	-3.888409	0.225784
 - 	291	7.420327	-3.886807	0.227175
 - 	292	7.418346	-3.883914	0.229484
 - 	293	7.415619	-3.880375	0.232609
 - 	294	7.412960	-3.876121	0.235794
 - 	295	7.409956	-3.870871	0.238440
 - 	296	7.405940	-3.864116	0.240308
 - 	297	7.401876	-3.855948	0.241922
 - 	298	7.397851	-3.846910	0.243129
 - 	299	7.393693	-3.837001	0.243627
 - 	300	7.389791	-3.826028	0.242969
 - 	301	7.386790	-3.813821	0.240790
 - 	302	7.383826	-3.800017	0.237000
 - 	303	7.381034	-3.785381	0.232246
 - 	304	7.378314	-3.769861	0.226594
 - 	305	7.375195	-3.754256	0.220439
 - 	306	7.371873	-3.739449	0.214177
 - 	307	7.369100	-3.725510	0.208088
 - 	308	7.366315	-3.712650	0.202252
 - 	309	7.364080	-3.700926	0.196948
 - 	310	7.362183	-3.691595	0.192157
 - 	311	7.359841	-3.685928	0.187944
 - 	312	7.356436	-3.683785	0.184389
 - 	313	7.354088	-3.684458	0.181290
 - 	314	7.352545	-3.688184	0.178540
 - 	315	7.353750	-3.689900	0.175639
 - 	316	7.355991	-3.691373	0.173100
 - 	317	7.357531	-3.690777	0.171732
 - 	318	7.356992	-3.689358	0.171117
 - 	319	7.356408	-3.689594	0.170833
 - 	320	7.354032	-3.691000	0.170887
 - 	321	7.352409	-3.691712	0.170578
 - 	322	7.352609	-3.691925	0.170062
 - 	323	7.352868	-3.691853	0.169574
 - 	324	7.352782	-3.691874	0.169276
 - 	325	7.352420	-3.691931	0.169222
 - 	326	7.351735	-3.692142	0.169393
 - 	327	7.351160	-3.692690	0.169477
 - 	328	7.350904	-3.693136	0.169346
 - 	329	7.351032	-3.693291	0.168927
 - 	330	7.351174	-3.693169	0.168333
 - 	331	7.350947	-3.693037	0.167748
 - 	332	7.350470	-3.692783	0.167421
 - 	333	7.350229	-3.693055	0.167218
 - 	334	7.350250	-3.693253	0.166958
 - 	335	7.350183	-3.693460	0.166597
 - 	336	7.350098	-3.693646	0.166220
 - 	337	7.349995	-3.693862	0.165930
 - 	338	7.349706	-3.693775	0.165761
 - 	339	7.349911	-3.693890	0.165537
 - 	340	7.349977	-3.694052	0.165200
 - 	341	7.349936	-3.694291	0.164795
 - 	342	7.349669	-3.694608	0.164394
 - 	343	7.349260	-3.694923	0.164093
 - 	344	7.348582	-3.694953	0.163794
 - 	345	7.348253	-3.695258	0.163537
 - 	346	7.347955	-3.695562	0.163263
 - 	347	7.347561	-3.695924	0.163069
 - 	348	7.347020	-3.696159	0.162936
 - 	349	7.346543	-3.696310	0.162365
 - 	350	7.346334	-3.696150	0.161928
 - 	351	7.346781	-3.696046	0.161660
 - 	352	7.347398	-3.695814	0.161434
 - 	353	7.347999	-3.695428	0.161183
 - 	354	7.348538	-3.695027	0.161114
 - 	355	7.349068	-3.694602	0.160975
 - 	356	7.349167	-3.694052	0.160868
 - 	357	7.349332	-3.693935	0.160856
 - 	358	7.349686	-3.693821	0.160884
 - 	359	7.349872	-3.693739	0.160871
 - 	360	7.350099	-3.693651	0.160851
 - 	361	7.350271	-3.693510	0.160882
 - 	362	7.350413	-3.693296	0.160927
 - 	363	7.350629	-3.693325	0.160937
 - 	364	7.350998	-3.693428	0.160918
 - 	365	7.351258	-3.693499	0.160878
 - 	366	7.351472	-3.693581	0.160828
 - 	367	7.351631	-3.693649	0.160766
 - 	368	7.351810	-3.693584	0.160674
 - 	369	7.351705	-3.693781	0.160576
 - 	370	7.351465	-3.693995	0.160508
 - 	371	7.351312	-3.694040	0.160499
 - 	372	7.351243	-3.694107	0.160535
 - 	373	7.351173	-3.694159	0.160581
 - 	374	7.351125	-3.694042	0.160661
 - 	375	7.350844	-3.694131	0.160797
 - 	376	7.350626	-3.694229	0.160943
 - 	377	7.350320	-3.694291	0.161083
 - 	378	7.350041	-3.694403	0.161222
 - 	379	7.349767	-3.694478	0.161345
 - 	380	7.349786	-3.694143	0.161450
 - 	381	7.349710	-3.694103	0.161545
 - 	382	7.349579	-3.694126	0.161612
 - 	383	7.349500	-3.694163	0.161664
 - 	384	7.349389	-3.694162	0.161696
 - 	385	7.349224	-3.694217	0.161701
 - 	386	7.349071	-3.694109	0.161670
 - 	387	7.348743	-3.694138	0.161652
 - 	388	7.348317	-3.694210	0.161641
 - 	389	7.347936	-3.694314	0.161638
 - 	390	7.347574	-3.694322	0.161644
 - 	391	7.347287	-3.694328	0.161650
 - 	392	7.347116	-3.694145	0.161677
 - 	393	7.346849	-3.694132	0.161732
 - 	394	7.346699	-3.694133	0.161783
 - 	395	7.346543	-3.694134	0.161838
 - 	396	7.346388	-3.694128	0.161892
 - 	397	7.346177	-3.694158	0.161935
 - 	398	7.346107	-3.693938	0.161950
 - 	399	7.345821	-3.693936	0.161966
 - 	400	7.345556	-3.693975	0.161985
 - 	401	7.345297	-3.693947	0.161999
 - 	402	7.345131	-3.693923	0.162003
 - 	403	7.344986	-3.693906	0.161999
 - 	404	7.344973	-3.693653	0.161993
 - 	405	7.344769	-3.693676	0.162004
 - 	406	7.344618	-3.693708	0.162037
 - 	407	7.344473	-3.693709	0.162071
 - 	408	7.344267	-3.693765	0.162074
 - 	409	7.344106	-3.693795	0.162047
 - 	410	7.344092	-3.693599	0.162015
 - 	411	7.343902	-3.693527	0.162010
 - 	412	7.343687	-3.693447	0.162003
 - 	413	7.343369	-3.693362	0.161974
 - 	414	7.342980	-3.693338	0.161940
 - 	415	7.342686	-3.693274	0.161918
 - 	416	7.342543	-3.693001	0.161913
 - 	417	7.342287	-3.692912	0.161918
 - 	418	7.342093	-3.692838	0.161919
 - 	419	7.341861	-3.692753	0.161923
 - 	420	7.341549	-3.692635	0.161941
 - 	421	7.341172	-3.692494	0.161955
 - 	422	7.340963	-3.692169	0.161962
 - 	423	7.340643	-3.691974	0.161972
 - 	424	7.340664	-3.691962	0.161981
 - 	425	7.340612	-3.691904	0.161995
 - 	426	7.340577	-3.691863	0.162017
 - 	427	7.340482	-3.691791	0.162050
 - 	428	7.340573	-3.691525	0.162082
 - 	429	7.340399	-3.691450	0.162116
 - 	430	7.340266	-3.691424	0.162153
 - 	431	7.340198	-3.691409	0.162219
 - 	432	7.340168	-3.691419	0.162301
 - 	433	7.340117	-3.691509	0.162371
 - 	434	7.340258	-3.691460	0.162422
 - 	435	7.340224	-3.691531	0.162501
 - 	436	7.340303	-3.691573	0.162602
 - 	437	7.340378	-3.691608	0.162713
 - 	438	7.340485	-3.691685	0.162829
 - 	439	7.340588	-3.691707	0.162954
 - 	440	7.340847	-3.691550	0.163048
 - 	441	7.340813	-3.691602	0.163136
 - 	442	7.340857	-3.691622	0.163207
 - 	443	7.340906	-3.691608	0.163260
 - 	444	7.341061	-3.691551	0.163307
 - 	445	7.341125	-3.691524	0.163355
 - 	446	7.341323	-3.691327	0.163365
 - 	447	7.341310	-3.691258	0.163409
 - 	448	7.341292	-3.691188	0.163472
 - 	449	7.341293	-3.691093	0.163545
 - 	450	7.341352	-3.691019	0.163631
 - 	451	7.341455	-3.690924	0.163707
 - 	452	7.341743	-3.690680	0.163730
 - 	453	7.341754	-3.690575	0.163774
 - 	454	7.341773	-3.690481	0.163823
 - 	455	7.341754	-3.690414	0.163869
 - 	456	7.341797	-3.690339	0.163894
 - 	457	7.341817	-3.690300	0.163913
 - 	458	7.342028	-3.690124	0.163913
 - 	459	7.341964	-3.690027	0.163956
 - 	460	7.341945	-3.689955	0.163993
 - 	461	7.341894	-3.689859	0.164025
 - 	462	7.341849	-3.689781	0.164057
 - 	463	7.341867	-3.689708	0.164091
 - 	464	7.342087	-3.689552	0.164082
 - 	465	7.341922	-3.689486	0.164097
 - 	466	7.341700	-3.689438	0.164106
 - 	467	7.341636	-3.689384	0.164097
 - 	468	7.341627	-3.689344	0.164062
 - 	469	7.341631	-3.689345	0.164013
 - 	470	7.341763	-3.689271	0.163940
 - 	471	7.341597	-3.689218	0.163923
 - 	472	7.341405	-3.689179	0.163912
 - 	473	7.341159	-3.689165	0.163897
 - 	474	7.340970	-3.689190	0.163873
 - 	475	7.340800	-3.689228	0.163873
 - 	476	7.340849	-3.689207	0.163881
 - 	477	7.340620	-3.689230	0.163936
 - 	478	7.340426	-3.689268	0.163966
 - 	479	7.340290	-3.689289	0.163973
 - 	480	7.340127	-3.689310	0.163982
 - 	481	7.339951	-3.689314	0.164012
 - 	482	7.340021	-3.689191	0.164026
 - 	483	7.339878	-3.689170	0.164064
 - 	484	7.339717	-3.689160	0.164104
 - 	485	7.339636	-3.689124	0.164136
 - 	486	7.339539	-3.689106	0.164155
 - 	487	7.339534	-3.689095	0.164153
 - 	488	7.339783	-3.689009	0.164111
 - 	489	7.339623	-3.688991	0.164105
 - 	490	7.339391	-3.688982	0.164091
